,Category,Citation Category,Year,Count
0,"Applied Computing. Industry+Business, Physical Sciences, Life Sciences, Education, Law, Forensics, Arts+Humanities, Entertainment","Applied Computing. Industry+Business, Physical Sciences, Life Sciences, Education, Law, Forensics, Arts+Humanities, Entertainment",2000,9
1,"Applied Computing. Industry+Business, Physical Sciences, Life Sciences, Education, Law, Forensics, Arts+Humanities, Entertainment","Architecture, Embedded Systems and Electronics, Robotics",2000,0
2,"Applied Computing. Industry+Business, Physical Sciences, Life Sciences, Education, Law, Forensics, Arts+Humanities, Entertainment","Artificial Intelligence, Machine Learning, Computer Vision, Natural language processing",2000,1
3,"Applied Computing. Industry+Business, Physical Sciences, Life Sciences, Education, Law, Forensics, Arts+Humanities, Entertainment","Information Systems, Search, Information Retrieval, Database Systems, Data Mining, Data Science",2000,3
4,"Applied Computing. Industry+Business, Physical Sciences, Life Sciences, Education, Law, Forensics, Arts+Humanities, Entertainment","Computational Theory, Algorithms and Mathematics",2000,4
5,"Applied Computing. Industry+Business, Physical Sciences, Life Sciences, Education, Law, Forensics, Arts+Humanities, Entertainment",Graphics and Computer-Aided Design,2000,2
6,"Applied Computing. Industry+Business, Physical Sciences, Life Sciences, Education, Law, Forensics, Arts+Humanities, Entertainment","Hardware, Power and Energy",2000,5
7,"Applied Computing. Industry+Business, Physical Sciences, Life Sciences, Education, Law, Forensics, Arts+Humanities, Entertainment",Human Computer Interaction,2000,6
8,"Applied Computing. Industry+Business, Physical Sciences, Life Sciences, Education, Law, Forensics, Arts+Humanities, Entertainment",Networks and Communications,2000,0
9,"Applied Computing. Industry+Business, Physical Sciences, Life Sciences, Education, Law, Forensics, Arts+Humanities, Entertainment",Security and Privacy,2000,0
10,"Applied Computing. Industry+Business, Physical Sciences, Life Sciences, Education, Law, Forensics, Arts+Humanities, Entertainment",Society and the Computing Profession,2000,1
11,"Applied Computing. Industry+Business, Physical Sciences, Life Sciences, Education, Law, Forensics, Arts+Humanities, Entertainment",Software Engineering and Programming Languages,2000,1
12,"Applied Computing. Industry+Business, Physical Sciences, Life Sciences, Education, Law, Forensics, Arts+Humanities, Entertainment","Web, Mobile and Multimedia Technologies",2000,0
13,"Architecture, Embedded Systems and Electronics, Robotics","Applied Computing. Industry+Business, Physical Sciences, Life Sciences, Education, Law, Forensics, Arts+Humanities, Entertainment",2000,2
14,"Architecture, Embedded Systems and Electronics, Robotics","Architecture, Embedded Systems and Electronics, Robotics",2000,14
15,"Architecture, Embedded Systems and Electronics, Robotics","Artificial Intelligence, Machine Learning, Computer Vision, Natural language processing",2000,1
16,"Architecture, Embedded Systems and Electronics, Robotics","Information Systems, Search, Information Retrieval, Database Systems, Data Mining, Data Science",2000,0
17,"Architecture, Embedded Systems and Electronics, Robotics","Computational Theory, Algorithms and Mathematics",2000,4
18,"Architecture, Embedded Systems and Electronics, Robotics",Graphics and Computer-Aided Design,2000,3
19,"Architecture, Embedded Systems and Electronics, Robotics","Hardware, Power and Energy",2000,18
20,"Architecture, Embedded Systems and Electronics, Robotics",Human Computer Interaction,2000,1
21,"Architecture, Embedded Systems and Electronics, Robotics",Networks and Communications,2000,2
22,"Architecture, Embedded Systems and Electronics, Robotics",Security and Privacy,2000,1
23,"Architecture, Embedded Systems and Electronics, Robotics",Society and the Computing Profession,2000,1
24,"Architecture, Embedded Systems and Electronics, Robotics",Software Engineering and Programming Languages,2000,9
25,"Architecture, Embedded Systems and Electronics, Robotics","Web, Mobile and Multimedia Technologies",2000,0
26,"Artificial Intelligence, Machine Learning, Computer Vision, Natural language processing","Applied Computing. Industry+Business, Physical Sciences, Life Sciences, Education, Law, Forensics, Arts+Humanities, Entertainment",2000,0
27,"Artificial Intelligence, Machine Learning, Computer Vision, Natural language processing","Architecture, Embedded Systems and Electronics, Robotics",2000,1
28,"Artificial Intelligence, Machine Learning, Computer Vision, Natural language processing","Artificial Intelligence, Machine Learning, Computer Vision, Natural language processing",2000,9
29,"Artificial Intelligence, Machine Learning, Computer Vision, Natural language processing","Information Systems, Search, Information Retrieval, Database Systems, Data Mining, Data Science",2000,2
30,"Artificial Intelligence, Machine Learning, Computer Vision, Natural language processing","Computational Theory, Algorithms and Mathematics",2000,0
31,"Artificial Intelligence, Machine Learning, Computer Vision, Natural language processing",Graphics and Computer-Aided Design,2000,6
32,"Artificial Intelligence, Machine Learning, Computer Vision, Natural language processing","Hardware, Power and Energy",2000,4
33,"Artificial Intelligence, Machine Learning, Computer Vision, Natural language processing",Human Computer Interaction,2000,5
34,"Artificial Intelligence, Machine Learning, Computer Vision, Natural language processing",Networks and Communications,2000,0
35,"Artificial Intelligence, Machine Learning, Computer Vision, Natural language processing",Security and Privacy,2000,0
36,"Artificial Intelligence, Machine Learning, Computer Vision, Natural language processing",Society and the Computing Profession,2000,0
37,"Artificial Intelligence, Machine Learning, Computer Vision, Natural language processing",Software Engineering and Programming Languages,2000,0
38,"Artificial Intelligence, Machine Learning, Computer Vision, Natural language processing","Web, Mobile and Multimedia Technologies",2000,2
39,"Information Systems, Search, Information Retrieval, Database Systems, Data Mining, Data Science","Applied Computing. Industry+Business, Physical Sciences, Life Sciences, Education, Law, Forensics, Arts+Humanities, Entertainment",2000,2
40,"Information Systems, Search, Information Retrieval, Database Systems, Data Mining, Data Science","Architecture, Embedded Systems and Electronics, Robotics",2000,3
41,"Information Systems, Search, Information Retrieval, Database Systems, Data Mining, Data Science","Artificial Intelligence, Machine Learning, Computer Vision, Natural language processing",2000,2
42,"Information Systems, Search, Information Retrieval, Database Systems, Data Mining, Data Science","Information Systems, Search, Information Retrieval, Database Systems, Data Mining, Data Science",2000,43
43,"Information Systems, Search, Information Retrieval, Database Systems, Data Mining, Data Science","Computational Theory, Algorithms and Mathematics",2000,4
44,"Information Systems, Search, Information Retrieval, Database Systems, Data Mining, Data Science",Graphics and Computer-Aided Design,2000,0
45,"Information Systems, Search, Information Retrieval, Database Systems, Data Mining, Data Science","Hardware, Power and Energy",2000,3
46,"Information Systems, Search, Information Retrieval, Database Systems, Data Mining, Data Science",Human Computer Interaction,2000,1
47,"Information Systems, Search, Information Retrieval, Database Systems, Data Mining, Data Science",Networks and Communications,2000,1
48,"Information Systems, Search, Information Retrieval, Database Systems, Data Mining, Data Science",Security and Privacy,2000,1
49,"Information Systems, Search, Information Retrieval, Database Systems, Data Mining, Data Science",Society and the Computing Profession,2000,1
50,"Information Systems, Search, Information Retrieval, Database Systems, Data Mining, Data Science",Software Engineering and Programming Languages,2000,7
51,"Information Systems, Search, Information Retrieval, Database Systems, Data Mining, Data Science","Web, Mobile and Multimedia Technologies",2000,1
52,"Computational Theory, Algorithms and Mathematics","Applied Computing. Industry+Business, Physical Sciences, Life Sciences, Education, Law, Forensics, Arts+Humanities, Entertainment",2000,3
53,"Computational Theory, Algorithms and Mathematics","Architecture, Embedded Systems and Electronics, Robotics",2000,1
54,"Computational Theory, Algorithms and Mathematics","Artificial Intelligence, Machine Learning, Computer Vision, Natural language processing",2000,1
55,"Computational Theory, Algorithms and Mathematics","Information Systems, Search, Information Retrieval, Database Systems, Data Mining, Data Science",2000,2
56,"Computational Theory, Algorithms and Mathematics","Computational Theory, Algorithms and Mathematics",2000,10
57,"Computational Theory, Algorithms and Mathematics",Graphics and Computer-Aided Design,2000,1
58,"Computational Theory, Algorithms and Mathematics","Hardware, Power and Energy",2000,4
59,"Computational Theory, Algorithms and Mathematics",Human Computer Interaction,2000,0
60,"Computational Theory, Algorithms and Mathematics",Networks and Communications,2000,3
61,"Computational Theory, Algorithms and Mathematics",Security and Privacy,2000,0
62,"Computational Theory, Algorithms and Mathematics",Society and the Computing Profession,2000,1
63,"Computational Theory, Algorithms and Mathematics",Software Engineering and Programming Languages,2000,3
64,"Computational Theory, Algorithms and Mathematics","Web, Mobile and Multimedia Technologies",2000,0
65,Graphics and Computer-Aided Design,"Applied Computing. Industry+Business, Physical Sciences, Life Sciences, Education, Law, Forensics, Arts+Humanities, Entertainment",2000,2
66,Graphics and Computer-Aided Design,"Architecture, Embedded Systems and Electronics, Robotics",2000,1
67,Graphics and Computer-Aided Design,"Artificial Intelligence, Machine Learning, Computer Vision, Natural language processing",2000,6
68,Graphics and Computer-Aided Design,"Information Systems, Search, Information Retrieval, Database Systems, Data Mining, Data Science",2000,0
69,Graphics and Computer-Aided Design,"Computational Theory, Algorithms and Mathematics",2000,0
70,Graphics and Computer-Aided Design,Graphics and Computer-Aided Design,2000,30
71,Graphics and Computer-Aided Design,"Hardware, Power and Energy",2000,1
72,Graphics and Computer-Aided Design,Human Computer Interaction,2000,8
73,Graphics and Computer-Aided Design,Networks and Communications,2000,0
74,Graphics and Computer-Aided Design,Security and Privacy,2000,1
75,Graphics and Computer-Aided Design,Society and the Computing Profession,2000,1
76,Graphics and Computer-Aided Design,Software Engineering and Programming Languages,2000,1
77,Graphics and Computer-Aided Design,"Web, Mobile and Multimedia Technologies",2000,0
78,"Hardware, Power and Energy","Applied Computing. Industry+Business, Physical Sciences, Life Sciences, Education, Law, Forensics, Arts+Humanities, Entertainment",2000,10
79,"Hardware, Power and Energy","Architecture, Embedded Systems and Electronics, Robotics",2000,6
80,"Hardware, Power and Energy","Artificial Intelligence, Machine Learning, Computer Vision, Natural language processing",2000,5
81,"Hardware, Power and Energy","Information Systems, Search, Information Retrieval, Database Systems, Data Mining, Data Science",2000,3
82,"Hardware, Power and Energy","Computational Theory, Algorithms and Mathematics",2000,1
83,"Hardware, Power and Energy",Graphics and Computer-Aided Design,2000,0
84,"Hardware, Power and Energy","Hardware, Power and Energy",2000,41
85,"Hardware, Power and Energy",Human Computer Interaction,2000,1
86,"Hardware, Power and Energy",Networks and Communications,2000,4
87,"Hardware, Power and Energy",Security and Privacy,2000,0
88,"Hardware, Power and Energy",Society and the Computing Profession,2000,1
89,"Hardware, Power and Energy",Software Engineering and Programming Languages,2000,11
90,"Hardware, Power and Energy","Web, Mobile and Multimedia Technologies",2000,0
91,Human Computer Interaction,"Applied Computing. Industry+Business, Physical Sciences, Life Sciences, Education, Law, Forensics, Arts+Humanities, Entertainment",2000,8
92,Human Computer Interaction,"Architecture, Embedded Systems and Electronics, Robotics",2000,0
93,Human Computer Interaction,"Artificial Intelligence, Machine Learning, Computer Vision, Natural language processing",2000,6
94,Human Computer Interaction,"Information Systems, Search, Information Retrieval, Database Systems, Data Mining, Data Science",2000,3
95,Human Computer Interaction,"Computational Theory, Algorithms and Mathematics",2000,0
96,Human Computer Interaction,Graphics and Computer-Aided Design,2000,3
97,Human Computer Interaction,"Hardware, Power and Energy",2000,0
98,Human Computer Interaction,Human Computer Interaction,2000,30
99,Human Computer Interaction,Networks and Communications,2000,0
100,Human Computer Interaction,Security and Privacy,2000,0
101,Human Computer Interaction,Society and the Computing Profession,2000,2
102,Human Computer Interaction,Software Engineering and Programming Languages,2000,2
103,Human Computer Interaction,"Web, Mobile and Multimedia Technologies",2000,6
104,Networks and Communications,"Applied Computing. Industry+Business, Physical Sciences, Life Sciences, Education, Law, Forensics, Arts+Humanities, Entertainment",2000,2
105,Networks and Communications,"Architecture, Embedded Systems and Electronics, Robotics",2000,1
106,Networks and Communications,"Artificial Intelligence, Machine Learning, Computer Vision, Natural language processing",2000,3
107,Networks and Communications,"Information Systems, Search, Information Retrieval, Database Systems, Data Mining, Data Science",2000,1
108,Networks and Communications,"Computational Theory, Algorithms and Mathematics",2000,2
109,Networks and Communications,Graphics and Computer-Aided Design,2000,1
110,Networks and Communications,"Hardware, Power and Energy",2000,2
111,Networks and Communications,Human Computer Interaction,2000,0
112,Networks and Communications,Networks and Communications,2000,21
113,Networks and Communications,Security and Privacy,2000,1
114,Networks and Communications,Society and the Computing Profession,2000,0
115,Networks and Communications,Software Engineering and Programming Languages,2000,5
116,Networks and Communications,"Web, Mobile and Multimedia Technologies",2000,0
