,words,year,count
0,video,2000,18
1,Agent,2000,14
2,to,2000,11
3,user,2000,11
4,Using,2000,11
5,users,2000,10
6,different,2000,8
7,time,2000,8
8,design,2000,8
9,new,2000,7
10,Interfaces,2000,7
11,information,2000,7
12,Classification,2000,7
13,Multi-Agent,2000,7
14,System,2000,7
15,agent,2001,34
16,agents,2001,32
17,user,2001,14
18,information,2001,12
19,different,2001,11
20,time,2001,11
21,domain,2001,11
22,results,2001,10
23,method,2001,10
24,web,2001,10
25,search,2001,9
26,users,2001,9
27,ontology,2001,8
28,text,2001,8
29,virtual,2001,8
30,agents,2002,41
31,agent,2002,37
32,method,2002,18
33,approach,2002,15
34,information,2002,13
35,time,2002,12
36,decision,2002,12
37,problem,2002,12
38,techniques,2002,11
39,user,2002,11
40,different,2002,10
41,classification,2002,10
42,approaches,2002,9
43,cluster,2002,9
44,new,2002,9
45,agents,2003,32
46,agent,2003,24
47,approach,2003,16
48,results,2003,12
49,knowledge,2003,12
50,video,2003,11
51,modeling,2003,10
52,method,2003,10
53,vector,2003,10
54,time,2003,10
55,user,2003,10
56,problem,2003,9
57,image,2003,9
58,different,2003,9
59,task,2003,9
60,method,2004,24
61,image,2004,19
62,user,2004,18
63,feature,2004,17
64,classification,2004,17
65,features,2004,15
66,results,2004,14
67,images,2004,14
68,problem,2004,14
69,new,2004,13
70,agents,2004,13
71,time,2004,12
72,approach,2004,12
73,information,2004,12
74,motion,2004,12
75,method,2005,18
76,problem,2005,18
77,agents,2005,18
78,image,2005,14
79,approach,2005,13
80,user,2005,13
81,problems,2005,13
82,classification,2005,13
83,features,2005,12
84,new,2005,12
85,agent,2005,12
86,images,2005,11
87,information,2005,10
88,clustering,2005,10
89,video,2005,10
90,method,2006,23
91,image,2006,19
92,problem,2006,18
93,classification,2006,18
94,optimization,2006,17
95,problems,2006,16
96,images,2006,16
97,approach,2006,13
98,results,2006,12
99,new,2006,12
100,problem,2007,16
101,method,2007,16
102,images,2007,15
103,different,2007,15
104,problems,2007,12
105,video,2007,12
106,learn,2007,11
107,clustering,2007,11
108,features,2007,11
109,computational,2007,11
110,method,2008,24
111,images,2008,21
112,feature,2008,19
113,results,2008,17
114,image,2008,14
115,features,2008,12
116,problems,2008,12
117,optimization,2008,11
118,task,2008,11
119,new,2008,11
120,image,2009,21
121,method,2009,19
122,results,2009,18
123,features,2009,18
124,images,2009,17
125,video,2009,13
126,semantic,2009,13
127,approach,2009,12
128,time,2009,11
129,user,2009,11
130,images,2010,23
131,user,2010,20
132,image,2010,18
133,method,2010,16
134,users,2010,16
135,problem,2010,16
136,information,2010,14
137,approach,2010,14
138,classification,2010,13
139,features,2010,13
140,image,2011,25
141,images,2011,22
142,user,2011,20
143,method,2011,19
144,results,2011,18
145,approach,2011,17
146,information,2011,15
147,problem,2011,14
148,new,2011,14
149,users,2011,14
150,images,2012,20
151,user,2012,19
152,image,2012,19
153,users,2012,19
154,method,2012,16
155,problem,2012,16
156,time,2012,16
157,results,2012,15
158,approach,2012,14
159,classification,2012,14
160,features,2013,21
161,approach,2013,18
162,results,2013,17
163,users,2013,16
164,approaches,2013,15
165,time,2013,15
166,user,2013,15
167,image,2013,14
168,video,2013,14
169,different,2013,14
170,image,2014,19
171,images,2014,18
172,problems,2014,17
173,features,2014,17
174,problem,2014,15
175,feature,2014,15
176,approach,2014,15
177,different,2014,15
178,video,2014,15
179,user,2014,15
180,features,2015,25
181,images,2015,24
182,image,2015,24
183,user,2015,22
184,dataset,2015,19
185,results,2015,19
186,users,2015,18
187,feature,2015,17
188,method,2015,16
189,video,2015,15
190,features,2016,32
191,feature,2016,25
192,deep,2016,22
193,time,2016,21
194,approach,2016,21
195,method,2016,20
196,image,2016,20
197,classification,2016,19
198,images,2016,18
199,user,2016,18
200,neural,2017,26
201,learn,2017,21
202,feature,2017,20
203,features,2017,20
204,deep,2017,20
205,method,2017,20
206,images,2017,19
207,user,2017,19
208,users,2017,18
209,dataset,2017,18
210,learn,2018,24
211,user,2018,24
212,method,2018,22
213,neural,2018,22
214,time,2018,20
215,approach,2018,20
216,training,2018,19
217,deep,2018,18
218,users,2018,18
219,datasets,2018,17
220,different,2019,26
221,learn,2019,24
222,neural,2019,23
223,user,2019,21
224,image,2019,21
225,training,2019,19
226,datasets,2019,19
227,features,2019,19
228,feature,2019,17
229,users,2019,17
230,training,2020,25
231,user,2020,24
232,users,2020,24
233,research,2020,19
234,prediction,2020,19
235,learn,2020,19
236,graph,2020,17
237,information,2020,17
238,different,2020,16
239,datasets,2020,15
