Category,year,Citation Score
"Applied Computing. Industry+Business, Physical Sciences, Life Sciences, Education, Law, Forensics, Arts+Humanities, Entertainment",2000,19291
"Applied Computing. Industry+Business, Physical Sciences, Life Sciences, Education, Law, Forensics, Arts+Humanities, Entertainment",2001,13192
"Applied Computing. Industry+Business, Physical Sciences, Life Sciences, Education, Law, Forensics, Arts+Humanities, Entertainment",2002,15771
"Applied Computing. Industry+Business, Physical Sciences, Life Sciences, Education, Law, Forensics, Arts+Humanities, Entertainment",2003,9325
"Applied Computing. Industry+Business, Physical Sciences, Life Sciences, Education, Law, Forensics, Arts+Humanities, Entertainment",2004,12237
"Applied Computing. Industry+Business, Physical Sciences, Life Sciences, Education, Law, Forensics, Arts+Humanities, Entertainment",2005,11090
"Applied Computing. Industry+Business, Physical Sciences, Life Sciences, Education, Law, Forensics, Arts+Humanities, Entertainment",2006,11620
"Applied Computing. Industry+Business, Physical Sciences, Life Sciences, Education, Law, Forensics, Arts+Humanities, Entertainment",2007,10289
"Applied Computing. Industry+Business, Physical Sciences, Life Sciences, Education, Law, Forensics, Arts+Humanities, Entertainment",2008,12889
"Applied Computing. Industry+Business, Physical Sciences, Life Sciences, Education, Law, Forensics, Arts+Humanities, Entertainment",2009,10119
"Applied Computing. Industry+Business, Physical Sciences, Life Sciences, Education, Law, Forensics, Arts+Humanities, Entertainment",2010,14569
"Applied Computing. Industry+Business, Physical Sciences, Life Sciences, Education, Law, Forensics, Arts+Humanities, Entertainment",2011,10364
"Applied Computing. Industry+Business, Physical Sciences, Life Sciences, Education, Law, Forensics, Arts+Humanities, Entertainment",2012,12132
"Applied Computing. Industry+Business, Physical Sciences, Life Sciences, Education, Law, Forensics, Arts+Humanities, Entertainment",2013,5787
"Applied Computing. Industry+Business, Physical Sciences, Life Sciences, Education, Law, Forensics, Arts+Humanities, Entertainment",2014,9283
"Applied Computing. Industry+Business, Physical Sciences, Life Sciences, Education, Law, Forensics, Arts+Humanities, Entertainment",2015,9307
"Applied Computing. Industry+Business, Physical Sciences, Life Sciences, Education, Law, Forensics, Arts+Humanities, Entertainment",2016,7489
"Applied Computing. Industry+Business, Physical Sciences, Life Sciences, Education, Law, Forensics, Arts+Humanities, Entertainment",2017,6227
"Applied Computing. Industry+Business, Physical Sciences, Life Sciences, Education, Law, Forensics, Arts+Humanities, Entertainment",2018,5087
"Applied Computing. Industry+Business, Physical Sciences, Life Sciences, Education, Law, Forensics, Arts+Humanities, Entertainment",2019,2922
"Applied Computing. Industry+Business, Physical Sciences, Life Sciences, Education, Law, Forensics, Arts+Humanities, Entertainment",2020,932
"Architecture, Embedded Systems and Electronics, Robotics",2000,9064
"Architecture, Embedded Systems and Electronics, Robotics",2001,9505
"Architecture, Embedded Systems and Electronics, Robotics",2002,12945
"Architecture, Embedded Systems and Electronics, Robotics",2003,15326
"Architecture, Embedded Systems and Electronics, Robotics",2004,14966
"Architecture, Embedded Systems and Electronics, Robotics",2005,15487
"Architecture, Embedded Systems and Electronics, Robotics",2006,18097
"Architecture, Embedded Systems and Electronics, Robotics",2007,16931
"Architecture, Embedded Systems and Electronics, Robotics",2008,17781
"Architecture, Embedded Systems and Electronics, Robotics",2009,22930
"Architecture, Embedded Systems and Electronics, Robotics",2010,26294
"Architecture, Embedded Systems and Electronics, Robotics",2011,20958
"Architecture, Embedded Systems and Electronics, Robotics",2012,15608
"Architecture, Embedded Systems and Electronics, Robotics",2013,15860
"Architecture, Embedded Systems and Electronics, Robotics",2014,11399
"Architecture, Embedded Systems and Electronics, Robotics",2015,10927
"Architecture, Embedded Systems and Electronics, Robotics",2016,6952
"Architecture, Embedded Systems and Electronics, Robotics",2017,16624
"Architecture, Embedded Systems and Electronics, Robotics",2018,6119
"Architecture, Embedded Systems and Electronics, Robotics",2019,3919
"Architecture, Embedded Systems and Electronics, Robotics",2020,955
"Artificial Intelligence, Machine Learning, Computer Vision, Natural language processing",2000,14112
"Artificial Intelligence, Machine Learning, Computer Vision, Natural language processing",2001,16113
"Artificial Intelligence, Machine Learning, Computer Vision, Natural language processing",2002,21907
"Artificial Intelligence, Machine Learning, Computer Vision, Natural language processing",2003,32042
"Artificial Intelligence, Machine Learning, Computer Vision, Natural language processing",2004,31980
"Artificial Intelligence, Machine Learning, Computer Vision, Natural language processing",2005,24714
"Artificial Intelligence, Machine Learning, Computer Vision, Natural language processing",2006,29058
"Artificial Intelligence, Machine Learning, Computer Vision, Natural language processing",2007,28772
"Artificial Intelligence, Machine Learning, Computer Vision, Natural language processing",2008,29531
"Artificial Intelligence, Machine Learning, Computer Vision, Natural language processing",2009,23569
"Artificial Intelligence, Machine Learning, Computer Vision, Natural language processing",2010,15228
"Artificial Intelligence, Machine Learning, Computer Vision, Natural language processing",2011,38031
"Artificial Intelligence, Machine Learning, Computer Vision, Natural language processing",2012,16719
"Artificial Intelligence, Machine Learning, Computer Vision, Natural language processing",2013,14088
"Artificial Intelligence, Machine Learning, Computer Vision, Natural language processing",2014,19981
"Artificial Intelligence, Machine Learning, Computer Vision, Natural language processing",2015,14560
"Artificial Intelligence, Machine Learning, Computer Vision, Natural language processing",2016,19772
"Artificial Intelligence, Machine Learning, Computer Vision, Natural language processing",2017,13324
"Artificial Intelligence, Machine Learning, Computer Vision, Natural language processing",2018,10378
