[('design', 36), ('user', 26), ('interface', 16), ('users', 16), ('new', 14), ('data', 14), ('interfaces', 14), ('Interfaces', 14), ('User', 13), ('virtual', 12)]
[('user', 47), ('users', 39), ('interface', 20), ('information', 19), ('design', 18), ('interaction', 18), ('web', 17), ('study', 13), ('virtual', 13), ('device', 12)]
[('users', 46), ('user', 40), ('design', 37), ('information', 21), ('interaction', 19), ('interface', 17), ('visual', 16), ('based', 15), ('application', 15), ('designers', 14)]
[('user', 45), ('users', 42), ('design', 30), ('new', 17), ('web', 17), ('information', 17), ('visual', 14), ('study', 13), ('interaction', 13), ('interface', 12)]
[('users', 49), ('user', 45), ('design', 36), ('interaction', 35), ('information', 19), ('interactive', 17), ('different', 16), ('based', 16), ('communication', 15), ('interfaces', 15)]
[('user', 57), ('users', 50), ('design', 28), ('study', 19), ('interaction', 16), ('based', 15), ('web', 15), ('research', 13), ('results', 13), ('data', 13)]
[('users', 47), ('user', 43), ('design', 41), ('information', 21), ('interaction', 19), ('data', 19), ('visual', 16), ('study', 16), ('interface', 13), ('display', 13)]
[('user', 47), ('users', 35), ('design', 28), ('interaction', 25), ('results', 16), ('game', 16), ('interactive', 16), ('visual', 15), ('web', 15), ('study', 15)]
[('users', 46), ('user', 37), ('design', 30), ('interaction', 24), ('study', 21), ('information', 19), ('new', 18), ('social', 17), ('interface', 16), ('results', 14)]
[('user', 56), ('users', 47), ('interaction', 32), ('study', 24), ('design', 21), ('social', 17), ('interactive', 16), ('information', 16), ('task', 15), ('model', 14)]
[('users', 56), ('user', 49), ('design', 28), ('data', 23), ('social', 21), ('new', 18), ('interaction', 18), ('information', 16), ('mobile', 16), ('interactive', 15)]
[('user', 56), ('users', 54), ('interaction', 25), ('study', 21), ('social', 21), ('data', 21), ('design', 20), ('information', 16), ('mobile', 14), ('new', 14)]
[('users', 46), ('user', 42), ('design', 32), ('interaction', 29), ('study', 19), ('information', 17), ('learning', 16), ('social', 15), ('visual', 15), ('tasks', 13)]
[('user', 65), ('users', 64), ('interaction', 35), ('design', 24), ('data', 15), ('based', 15), ('information', 15), ('gestures', 14), ('touch', 14), ('interactive', 13)]
[('user', 50), ('users', 50), ('design', 33), ('interaction', 27), ('data', 19), ('social', 18), ('interactive', 16), ('devices', 15), ('interactions', 14), ('different', 13)]
[('users', 46), ('design', 46), ('user', 42), ('interaction', 32), ('study', 22), ('data', 19), ('information', 17), ('research', 16), ('objects', 15), ('different', 14)]
[('users', 46), ('user', 44), ('interaction', 27), ('design', 27), ('data', 23), ('model', 20), ('social', 20), ('study', 16), ('different', 15), ('based', 14)]
